X, Result
-10.0, -2.4835382429626592E23
-9.5, -1.01387340432713568E17
-9.0, -2.7042386859950336E11
-8.5, -521117.4825645685
-8.0, 14.929126540367216
-7.5, -3803.7707862887096
-7.0, 3.8117500344062045
-6.5, 0.016288424580887532
-6.0, 5.754211200078697E41
-5.5, 1.0072071726459358E40
-5.0, 8.782154446811227E41
-4.5, -3.9387826456352596E39
-4.0, -5.836817836854756E27
-3.5, -2.970361698020393E20
-3.0, -3.4108302768888106E14
-2.5, -1.1469764647165735E9
-2.0, -741.7611966690079
-1.5, -1.0193718955456426E13
-1.0, 5.946443302906262
-0.5, 0.5869545450527052
0.0, -3.252721298492308E-7
0.5, 630.5034483220031
1.0, NaN
1.5, 1375.6778985002388
2.0, 38.15271408123483
2.5, -18.728310462878856
3.0, -21.409102270296124
3.5, -18.84193643754484
4.0, -16.145264717784485
4.5, -13.942182195529114
5.0, -12.209991340493689
5.5, -10.844946290018175
6.0, -9.755569723896173
6.5, -8.873190134572328
7.0, -8.148012463998878
7.5, -7.543969419269399
8.0, -7.0346727717493
8.5, -6.6005476377822045
9.0, -6.226858629374129
9.5, -5.902352671037596
